Designator,Mid X,Mid Y,Rotation,Layer
C0,200.2282,-92.6592,0,top
C1,200.2536,-94.4626,0,top
C2,196.215,-109.1946,0,top
C3,210.3374,-104.3686,270,top
C4,206.2734,-109.474,270,top
C5,199.0344,-109.9058,90,top
C6,195.0974,-99.822,90,top
C7,206.121,-94.4626,180,top
F0,191.005,-87.9856,90,top
J0,195.199,-79.2988,180,top
R0,202.1586,-83.1088,270,top
R1,188.0616,-83.0834,270,top
R2,193.294,-108.3564,90,top
R3,194.4116,-96.4946,90,top
R4,196.0626,-96.4946,90,top
R5,211.0994,-98.9076,180,top
R6,218.6178,-103.4034,270,top
SW0,188.4934,-107.8992,0,top
SW1,222.6818,-102.5906,270,top
U0,203.2,-101.6,0,top
U1,195.2498,-91.5924,270,top
Y0,202.7428,-109.7026,180,top
